"Ticker","Signal","Final_rank","Quality","Momentum","PER","ROA","FCF2EV","FCF2D","MomentumValue"
"MSI","BUY",363,289,332,38.027727539936,0.09543,26.4363250869357,4.62180398721048,0.987598720791262
"SWKS","BUY",362,364,255,31.8500010172526,0.11675,44.5374124588747,0.32396213902831,0.564541024756676
"DG","HOLD",361,258,360,20.8197211218451,0.08769,25.7656967045971,5.52409069601647,1.41910876622719
"TDY","HOLD",360,282,335,38.4068205943884,0.06726,35.3773842989755,2.19732813988226,1.08633737331161
"GOOG","BUY",358,328,286,33.8514454491191,0.07745,38.3680155903392,0.978488341297111,0.68266432449704
"PHM","HOLD",357,419.5,194,9.01149402965199,0.09754,10.2477658948819,2.5427316117165,0.361018928473397
"BR","BUY",356,321.5,289,38.0243228960641,0.08785,28.6561456130821,3.07397515571309,0.698673038467756
"VRSN","HOLD",355,307.5,302,31.2175409544842,0.28015,47.0387335247843,3.33140987330733,0.753932164790651
"GOOGL","BUY",352.5,327,280,33.8661310606051,0.07745,38.3862788251599,0.978488341297111,0.665464195702786
"MRK","HOLD",350,356.5,249,18.0653716987098,0.11264,26.4015722617241,3.32198663151447,0.548346157449114
"EBAY","HOLD",347.5,386,203,6.96948682385576,0.10152,17.3719395108947,3.61407806229677,0.375931751717167
"SHW","BUY",347.5,269,320,36.3097812818444,0.08229,30.6667428410257,4.05802180336619,0.872381879281884
"AMGN","HOLD",346,379,207,18.5434307741709,0.094510004,16.8957925593626,3.71876361214788,0.391748239896645
"LLY","HOLD",344.5,264,317,27.6243449505711,0.09844,37.6077641180315,3.88282262984729,0.843981917795145
"RHI","BUY",342,427,147,21.8997544837842,0.11383,13.7885150823106,0.615325256573375,0.230605804335719
"MAS","HOLD",337.5,410,162,10.0457206117732,0.13677,16.4137116415479,2.98879843584521,0.265953850477043
"CSCO","HOLD",335,423,148,18.1174089068826,0.09020001,13.6184680744182,1.21574546622512,0.230973692431523
"QCOM","HOLD",333,207,363,33.7035390128077,0.11354999,50.7180780102944,4.67640853871627,1.53061552532978
"AON","BUY",331,307.5,261,27.2255160144924,0.06631,21.8924733158011,3.48210980130787,0.579082663145592
"FB","HOLD",330,309,259,31.1187062727397,0.10963,68.3226935118545,1.03793046651789,0.569590789315873
"AME","HOLD",325,279.5,281,31.9947096405837,0.06645,29.5383327875274,2.97796052928882,0.668333688980057
"ALGN","HOLD",323,216,342,24.3165273426835,0.06007,115.831138050063,0.239954366354327,1.16611910192423
"HOLX","BUY",322,289,268,17.2992878458562,0.106070004,29.6188350013978,4.43136715683534,0.61707595914428
"ADP","HOLD",321,295,260,30.5849673577924,0.05173,31.3838940377674,0.994929424059884,0.575444939356257
"ITW","BUY",311,353.5,192,30.9143297775303,0.11869001,28.871431282092,3.26249879765934,0.359404938618112
"CL","BUY",309.5,401,144,27.3194895003931,0.15725,25.387084094854,2.29531585534598,0.220583783435823
"ATVI","HOLD",306.5,371,172,32.5903820547986,0.084589995,29.4888941423611,1.56840563034574,0.280182358591785
"LMT","HOLD",305,396.5,146,15.2942701846759,0.10705,21.0008732593933,2.45467097594942,0.22693455525633
"EA","HOLD",304,399,143,32.0035672171865,0.07841,22.0275630995626,0.740364529613585,0.215971903634492
"DOV","BUY",303,277,263,27.5054466230937,0.06956,25.7887269662842,3.87105722423122,0.588785113569112
"CTSH","HOLD",299.5,419.5,115,30.3743502402677,0.094390005,16.3216177753105,1.33065909904232,0.144109342150157
"KMB","SELL",299.5,374.5,160,19.5717813660988,0.14082,23.8052820799259,3.77287272563311,0.262794759861851
"FFIV","HOLD",297,381,153,35.1177649583645,0.06435,18.2275080679304,1.35466751154464,0.240740710593032
"MMC","HOLD",294,294,237,29.3969849246231,0.07879,22.0529305623461,4.5834448620922,0.488147434417587
"CDW","BUY",292.5,204,326,25.9940815160025,0.084130004,30.8927064077353,6.56008839451967,0.945526222185519
"UHS","HOLD",292.5,406,124,13.4843581445523,0.07036,8.83092144980256,2.38338272297297,0.162612467424312
"STE","BUY",291,176,353,38.4462461026639,0.06761,54.6690688204747,3.74009065358909,1.28646283838944
"URI","HOLD",288.5,343,183,18.3458590034103,0.06646,11.0458913309173,4.34947920350221,0.320341986459789
"ANET","HOLD",287,407.5,118,32.5095107769321,0.108009994,27.3017624949222,0.106432232534491,0.149078912059618
"ALLE","BUY",285,291,233,35.9308420047601,0.11547,32.438085123101,4.18827896662024,0.476331741056406
"FMC","BUY",285,289,235,30.0706437219194,0.071550004,22.2979183648646,4.20735257005578,0.477986348839159
"INTC","HOLD",283,416,107,9.75141900466319,0.11129,14.4180531534665,2.36958562711132,0.127957485503469
"HPQ","HOLD",280,407.5,112,12.2950000762939,0.07192,10.4287836657973,2.27154807121519,0.137860718980824
"SNA","BUY",279,424,95,16.0018699756567,0.09069,10.7773287100926,1.62640071268044,0.0878199531249861
"CBRE","HOLD",276.5,306,210,19.6799501790722,0.04547,16.2395629624233,3.03654368855132,0.411683155183483
"NVR","HOLD",276.5,402,114,18.7363553206271,0.14094,22.4046542915313,2.50877339152138,0.139375513799239
"PKI","HOLD",270,197,315,38.8994307400379,0.05711,34.5633206898792,3.93035535099846,0.836218164413409
"TMO","BUY",268,145,362,38.1974740675166,0.06273,44.2978560692478,4.71809748935314,1.46736460025702
"FBHS","BUY",265,336,167,24.3591932994325,0.07851,21.8975116300027,3.5650954651063,0.275997733064762
"DGX","HOLD",264,312,190,14.694204459796,0.07554,17.9221629781971,4.67718874039513,0.349691590915792
"LDOS","HOLD",262,227.5,273,24.6760569827657,0.05727,20.5268712072247,5.42144467584856,0.636070530057325
"WU","HOLD",260.5,315,182,12.9669033889229,0.07064,16.1429651575948,4.78558529224496,0.318947088202545
"DHI","HOLD",258.5,251.5,242,10.7519497923472,0.10642,31.8146312448325,5.15418994498394,0.511533263940474
"STX","HOLD",258.5,223.5,270,15.8692876812387,0.09567001,29.4846637944499,6.76067563258187,0.623662701624982
"ALXN","HOLD",256,411,80,36.2589940805672,0.107370004,19.4722907220928,1.6590432601465,0.0210720323574629
"PNR","BUY",255,367.5,122,25.2689196347396,0.07029,21.7891526936076,2.00740512259036,0.154613152420762
"NDAQ","BUY",253,186,301,24.3113563174293,0.056989998,30.6180568556569,4.87537997326706,0.753213272142836
"AOS","BUY",252,412.5,74,28.2431734646184,0.083680004,19.5152788413332,0.367006178520325,-0.031213193845844
"DPZ","HOLD",251,147,339,32.8164305909352,0.30879,65.7511744636529,14.9380874587693,1.12955742823011
"SIVB","HOLD",250,253,232,18.902860387594,0.0136899995,16.0515963555272,1.134966498885,0.475210587538106
"HSY","BUY",247.5,273,209,26.7386346903729,0.124060005,33.1535618594329,4.78895339086895,0.399398765491903
"WHR","HOLD",247.5,314,168,13.0856235404309,0.050619997,9.08081385921485,4.28154194877633,0.276291290711305
"APH","HOLD",244.5,231,247,34.5039589109396,0.087740004,42.2597117146935,3.88088392945902,0.53174030642911
"AIZ","BUY",243,281,196,20.1777516250486,0.01149,6.20555417797918,1.64737245561585,0.368012575615886
"ROK","BUY",242,270.5,206,28.5986314205922,0.10086001,43.0891445998803,3.27319943867973,0.38608777821576
"NTAP","HOLD",241,387,89,21.5976517325626,0.072280005,13.9476241762055,2.77428262246676,0.0519113614942046
"ALL","HOLD",239.5,383,87,7.6971012676919,0.03828,5.71605514971812,1.02220423758962,0.038981178444873
"JNJ","BUY",239.5,365,105,24.7452837866057,0.07724,23.320918491649,2.09014793532335,0.123297298091362
"WRB","BUY",238,247.5,222,37.6744175660495,0.01321,8.97386325280826,2.45642634225107,0.440269497767989
"EMR","HOLD",236,323.5,140,24.8055564032661,0.08207,24.0471083148918,3.64679770446771,0.203363865946835
"AVY","HOLD",234,262.5,199,24.7858741787075,0.09024999,30.4802641785363,4.45191380372181,0.372394430929543
"PSA","BUY",234,329.5,132,35.5824333860988,0.08156,34.8562648282332,1.7508222042947,0.190021741453615
"BIIB","SELL",232,430,31,8.06043849530422,0.15951,8.95321728362499,1.67320673762797,-0.246099781375474
"LH","BUY",230,301.5,158,23.6082119057942,0.07018,17.9862966969499,4.64834705064212,0.25283683292539
"ORCL","HOLD",228.5,284,175,19.5674538540249,0.090299994,20.0486794044497,6.36287366251579,0.283791434773627
"WAT","HOLD",227,319.5,138,30.8273110103346,0.15595001,35.5805628265396,3.58521120526553,0.200942034136594
"DISCA","HOLD",226,316,139,16.6703601953396,0.055689998,19.9599255114976,2.67848263584617,0.202412906904253
"BIO","BUY",225,106,348,4.99571509016699,0.02105,47.7246791366901,1.8247159856574,1.25625342159184
"PM","BUY",224,403,48,16.7760893445851,0.17702,18.3104044947683,3.47370272880706,-0.157711744811707
"PH","HOLD",222.5,239,211,29.7390833692259,0.063439995,23.5579351815171,4.42653718122761,0.414629182185859
"KSU","HOLD",221,135,314,33.8355718353742,0.06485,38.4009600842246,6.49382616005742,0.827715228164006
"IP","HOLD",218.5,372,75,39.8397445678711,0.036459997,4.03603673082287,1.59187583821478,-0.0217132411015918
"NRG","HOLD",218.5,310,137,2.29298969449564,0.07827,14.7818564938851,5.865524290632,0.199595347615401
"HRL","HOLD",217,241,205,28.0783136206937,0.07941,47.9145755662653,2.62547789573031,0.384613558941398
"MKC","HOLD",216,122,323,33.8407074244676,0.061440002,41.7530750813893,6.08138707138917,0.920921471082024
"DISCK","HOLD",215,332.5,110,14.5096955867355,0.055689998,17.7155076782404,2.67848263584617,0.134624486121809
"CMI","BUY",213.5,225,217,21.4023189240897,0.05353,28.1760902132935,3.64906766760739,0.429118403125921
"GIS","HOLD",212,321.5,120,15.0691950889443,0.06766,15.2218582831039,4.40781515509288,0.150811167653826
"ABBV","HOLD",210.5,276,165,23.4361333171214,0.08046,19.3813086075316,6.29123448042237,0.271226428655291
"ANTM","BUY",208.5,220,219,16.5800886263498,0.0665,21.3789976422677,6.69778326045345,0.432078283279002
"HON","HOLD",208.5,203,236,30.4858817469173,0.06611,31.7413200446213,4.63529151957137,0.478370477239915
"REGN","SELL",207,236.5,200,17.7054161603592,0.12991999,69.0252469983779,3.67182712917149,0.372566339571622
"KR","HOLD",206,262.5,173,8.50107072507544,0.050380003,11.4021274532143,5.5268208880535,0.280524172899552
"DVA","HOLD",204.5,189,246,17.5774818873902,0.06513,21.4059393031395,9.50657781783491,0.520415203794063
"FLT","BUY",204.5,231,204,32.8315266633292,0.05742,24.7621586586469,4.20459412258648,0.378215463022553
"MCK","BUY",200,296.5,133,13.3466348069178,0.030269999,10.2822286590162,2.77241556971182,0.192487999854359
"CBOE","HOLD",199,395,33,20.4434693186788,0.08026,18.4492896361475,1.83731002482037,-0.237927970522294
"RJF","HOLD",194,323.5,92,16.4099482279495,0.01895,1.55045937506361,0.997709907379135,0.0703551440939256
"WLTW","HOLD",193,193.5,221,25.7870248073172,0.02831,19.3455940312271,3.99760350859594,0.439073900426092
"CNC","HOLD",191,268,145,15.9146338227192,0.05173,11.6858468540535,5.3673066688899,0.222244314123236
"FOXA","BUY",191,376,37,11.0848880240706,0.08113,10.5771692239805,4.25559661886716,-0.211359295879676
"PPG","BUY",191,229,184,31.7665200926659,0.055960003,25.0009137384896,4.12947304638014,0.324114279122331
"ETN","HOLD",189,32.5,380,35.3041432235229,0.03652,66.7170177938926,10.3611644141726,1.82165897933535
"PKG","HOLD",188,285,126,27.7540760036445,0.07511,23.0893118706518,4.30493204525012,0.171584882049069
"AJG","HOLD",187,86,324,30.919769828661,0.030199999,33.2225499859875,5.84404867171117,0.928546078436517
"FOX","BUY",185.5,377,32,10.9935284205431,0.08113,10.5054872967363,4.25559661886716,-0.241618576958692
"CERN","BUY",184,298.5,108,30.6682310890714,0.06924,33.4529227883795,2.03688132114879,0.128083585888786
"MDLZ","BUY",183,188,216,27.5932049177457,0.04046,22.7135896453747,4.63925404620477,0.426494902039135
"CSX","BUY",181.5,111,291,25.215337593776,0.06825,42.5565575017689,8.64891037370584,0.7041487593557
"SJM","HOLD",181.5,317,85,14.9585919350571,0.053200003,13.1233515666805,3.84522563767168,0.0326735750271296
"MMM","BUY",180,359,42,20.4984160063484,0.09553,21.2062195081471,3.71461648012153,-0.192288215840509
"TRV","HOLD",179,319.5,81,15.9965806401353,0.01673,3.91575249343675,0.800379160822371,0.0218339501541487
"INFO","BUY",178,53,345,39.2442122459828,0.032279998,52.4460332960967,6.82969935940817,1.22252680486884
"NSC","BUY",176,93,298,30.6001288616036,0.05697,41.7837817840035,7.54672044399878,0.733655249847096
"HSIC","HOLD",174,259,128,16.3511862583398,0.04839,24.1331961025701,2.9713407524566,0.173372183852956
"GL","BUY",173,296.5,90,13.9033673622947,0.02242,10.5143114602572,1.77388344047801,0.0520152931336246
"IPG","HOLD",172,226,159,16.2430942387871,0.03949,12.6071390096047,5.1466113493062,0.259868404022904
"AMP","HOLD",170.5,255,129,13.6371931109512,0.011720001,7.63625342624719,2.34462106424605,0.183006319396891
"TSN","HOLD",170.5,331,53,10.9965874473389,0.07066,13.5596706111179,4.72687463223737,-0.137537350969531
"UNP","BUY",168.5,114,269,26.5248409198348,0.07948,49.5668731831907,8.78714246743044,0.622623897226198
"BLK","HOLD",164,151.5,228,23.9626707192502,0.02073,32.8581785352674,2.3066987941838,0.465476129328591
"ROP","HOLD",163,94,284,29.0766219032706,0.04408,35.8019016879427,6.36171409698018,0.677347759644988
"LW","HOLD",162,192,185,34.086579161805,0.10018,34.4321057337741,7.78177190537739,0.329354700461576
"OMC","HOLD",161,305,68,14.0631339192525,0.049050003,10.7150794363725,4.18419781232039,-0.0442650742654991
"AXP","HOLD",160,212.5,157,29.7661259630993,0.01777,9.27712381513731,3.90438717213664,0.251238493493471
"LHX","HOLD",158,153,215,25.7135089474168,0.0428839732888147,30.1347104751958,5.00391636553525,0.424011222545592
"HIG","HOLD",156,318,49,10.240434777804,0.02219,6.21600240180026,1.46925919812747,-0.154686652467177
"COG","SELL",154.5,348.5,18,30.6015050500855,0.04059,11.6896483877199,1.81973106508291,-0.356222060603614
"CINF","HOLD",154.5,270.5,96,17.9367691945354,0.02487,18.2661008265569,1.25177998712875,0.0987232278195489
"YUM","BUY",152.5,170,195,31.521485934551,0.2011,45.8594956190879,12.0299390670719,0.366957549987521
"CPB","HOLD",149,245.5,117,8.30042892259589,0.066599995,19.505193433526,6.08574199614644,0.146171630256056
"IVZ","HOLD",143,345,9,16.3661974696486,0.023359999,4.88345023528604,0.869999011220295,-0.463869442426851
"CMCSA","HOLD",141,164,186,23.4977585317843,0.04479,21.7905956605809,7.05939983422468,0.336469018797775
"MHK","HOLD",139,341,5,2.82491304695473,0.030439999,7.55673392275001,1.88937457021245,-0.543928943042075
"AKAM","HOLD",137.5,80,264,30.7798293356111,0.06147,52.3152740340436,7.71962176337995,0.591482175264223
"CAH","HOLD",137.5,267,77,16.0889160027909,0.02779,9.86740385439697,3.37379536479503,-0.00154460288138092
"APD","HOLD",136,29.5,313,32.1965591822653,0.06368,794.751791766666,105.42100721047,0.823289568485876
"PFE","HOLD",135,183,156,23.9336809969382,0.05088,24.7368014383404,6.06492501267768,0.246435022427543
"DE","HOLD",134,32.5,305,30.9608731637478,0.03838,53.3304050263783,19.9718034369548,0.75929547586302
"BWA","HOLD",133,293,41,21.9545451077548,0.05269,15.0088335117999,4.1228420381861,-0.198775508791187
"CHRW","HOLD",132,227.5,106,27.9042814347747,0.077649996,36.8347931425306,3.94171724858062,0.12406963693977
"UPS","BUY",130,68,262,31.9423357163286,0.06525,60.9211229490596,10.6163568498606,0.585643611477542
"PEP","BUY",129,149.5,180,29.3663372379718,0.07841,40.8213109430165,7.58348769884578,0.307495787038589
"CME","BUY",128,155,174,30.341667175293,0.01684,31.3951404122296,1.88011348795912,0.280860162210402
"LEG","BUY",127,250,78,26.0588230806239,0.05296,17.468712744169,4.7930607472997,0.00237131437954119
"APTV","HOLD",126,109.5,218,19.852200714023,0.02918,34.8194145951941,4.08872458410351,0.431722730544159
"SWK","BUY",124,207,119,28.8605135863252,0.046680003,25.8906360177762,3.95281921981491,0.149792785921112
"SEE","HOLD",120,255,69,15.3606175496569,0.0855,20.8631185643555,7.51076983933841,-0.0436641738374066
"CE","HOLD",117,144,176,27.008938358222,0.044499997,27.4702754356094,6.26865624932907,0.291260454925665
"HBI","HOLD",115,283,34,11.8923327273296,0.06625,12.2392602520887,6.212993817601,-0.234526512919883
"WM","HOLD",112,92,224,33.3041514558531,0.06141,43.9218187725468,7.27158504584959,0.456912857749493
"EMN","HOLD",110,193.5,121,28.9659153030898,0.04028,17.9272459335478,5.69346486300811,0.151978339981188
"RSG","BUY",109,71,241,30.1786283458972,0.04977,43.1779304537501,10.0102646672918,0.509539853746402
"HAS","HOLD",107,207,102,33.1702130906125,0.053239997,19.9476013012872,6.23259396021802,0.115393206852386
"VZ","HOLD",103.5,128,177,13.2918552036199,0.06638,31.0044775066717,11.4799825194337,0.300599284642918
"AAP","HOLD",101,63,239,22.9305567778186,0.041550003,40.6871831929141,10.8929480407918,0.498161607696895
"EXR","BUY",98.5,82,214,34.400237710912,0.04783,36.4165827252942,9.83939038021294,0.420196664489172
"LKQ","BUY",98.5,242,54,17.997957956316,0.050079998,16.4636577625175,4.98130857503406,-0.134005340388819
"BSX","HOLD",95.5,103,187,13.8003841700343,0.02161,27.1983297150193,4.41824054778102,0.33723276730963
"IBM","HOLD",92.5,219,61,14.2672557240641,0.037219997,12.4176601016057,5.2309949417866,-0.0718614294239758
"CAG","HOLD",91,187,91,17.8620681386863,0.05572,21.2427124761873,7.71746175376252,0.052397139109243
"MLM","HOLD",90,124,151,26.5466954492571,0.05382,38.4522290794384,5.76598184199002,0.235856689612078
"ICE","HOLD",87.5,23,250,31.7778392821189,0.01685,43.6332837170974,9.40483601401988,0.549214209165275
"CVS","BUY",85,190,82,11.2892567027699,0.03895,13.8588754443479,7.3263232527787,0.0263303677840208
"MCD","HOLD",85,79,193,32.7353168315873,0.094069995,88.4864333330895,21.8718162840616,0.359655740650221
"PCAR","HOLD",85,70,202,21.0439021412919,0.04023,35.1500394173643,10.2269508590181,0.373739759330927
"T","HOLD",83,215,56,18.9210527821591,0.03421,11.296475985047,5.26975091489314,-0.110574752876786
"MTB","HOLD",82,243.5,27,12.674233676997,0.01041,0.131236623344923,2.58909077561613,-0.259831966682257
"AMCR","BUY",80,172,98,37.6038353283184,0.04789,22.6953104855817,6.46319269582383,0.104220417912245
"K","HOLD",80,182,88,18.0272304583535,0.062979996,24.4081388124518,7.60528480368437,0.0462356121412277
"MU","HOLD",80,18,252,31.6947724726711,0.03729,997.349548722892,87.1084352771084,0.55860890084301
"CF","HOLD",77.5,191,71,29.2813911380277,0.033469997,17.4285076233315,5.06241625562262,-0.0380424923214353
"HII","HOLD",77.5,238,24,11.6935314992482,0.06206,19.3281389473394,5.52605033146623,-0.283840903742057
"WEC","HOLD",76,7,254,24.1548553226501,0.031229999,497.671060401417,153.813456245573,0.563274679325655
"KO","BUY",71,101.5,154,28.4145078510818,0.0664,42.6211578966574,8.37281491046867,0.241520815110493
"JBHT","HOLD",70,112,141,29.3681482691778,0.08027001,70.6955199339926,6.55323205452321,0.209401418794585
"JNPR","HOLD",68,205,45,19.0762713804083,0.033299997,17.4750922392166,4.39548325735926,-0.162996415267004
"KMX","HOLD",67,24,225,20.755877627878,0.032279998,50.367704314025,25.3696324742056,0.457664234531857
"DLTR","BUY",66,168,79,26.6831318635533,0.06288,26.4673805248024,7.59936693085641,0.017985279555355
"AFL","HOLD",63,137,93,6.99543829175761,0.01681,17.4906200497984,4.77122907916273,0.0746057822185004
"FLS","HOLD",62,177.5,51,32.8431358949386,0.04815,21.3913646420505,6.94050799632608,-0.140587852583963
"VMC","BUY",60.5,124,104,32.3608984417617,0.05091,35.5145649910179,5.94105302728219,0.121356787382916
"NOC","HOLD",58,138,86,20.9012964689418,0.04916,27.4554511853809,7.54490667217399,0.0333377986828471
"ADM","BUY",56,11,197,17.8695497509437,0.023510002,92.0494286868687,23.4343434343434,0.368580987382573
"XRX","HOLD",55,157,47,5.46676108770807,0.0279,11.5792855135177,8.96748805430571,-0.158350111076395
"TAP","HOLD",48,170,15,16.7992559950591,0.03185,14.3058312614325,6.94259496162919,-0.397361983395078
"ESS","BUY",47,84,100,25.9220436913359,0.027709998,25.3616727681046,7.76259139342917,0.109938600583601
"BEN","HOLD",46,167,16,15.7169809881246,0.0508,25.5806938294979,6.36462655259031,-0.390211327731309
"MS","HOLD",44,13,169,11.5838402263855,0.01084,99,7.7994452999204,0.276753602328856
"CAT","HOLD",43,47,134,30.17573015127,0.04125,51.3962483834003,15.2475756634148,0.193048509857883
"WAB","BUY",41,113,59,30.3356804592798,0.02865,24.1676422294589,6.0834202434473,-0.08246804780009
"PEG","BUY",40,16,155,15.4641907790612,0.03216,216.206283117371,81.9107984225352,0.243480385331754
"NUE","BUY",37,107,60,37.7234032813539,0.04289,27.6746138742557,8.28852987786107,-0.0794574994724283
"IFF","SELL",36,131,35,32.5673238593329,0.03602,23.3526970970245,6.47920772819777,-0.216636617037802
"STZ","HOLD",35,98.5,66,38.7767751906103,0.06363,39.482556471595,8.49129889493745,-0.057561560272569
"AVB","HOLD",34,66,83,34.4566135472039,0.02543,29.9314840430791,7.72523104214321,0.0271480061507858
"EQR","BUY",33,72,76,23.2927303651461,0.0252,27.5948008087971,7.67066823421451,-0.00193674040784841
"FDX","BUY",32,12,135,28.0336891390981,0.03477,336.635035041837,130.837937304284,0.19395691256589
"LYB","HOLD",31,52,94,26.1960570626206,0.0431,46.9788379926243,17.2194542537035,0.0793062004076202
"RE","BUY",30,40,97,14.1709544365816,0.01367,48.1790346015741,5.21870396764347,0.0997557777670586
"WELL","BUY",27.5,17,116,25.9205787190461,0.019,51.0059563253006,17.7830935774164,0.145063739305056
"EVRG","HOLD",25.5,5,123,20.0977546421192,0.02743,410.242227357844,187.142264663165,0.157985363307628
"CI","BUY",23,38,84,14.6132242507217,0.036429998,49.0706565951347,17.0731648667418,0.0304916906254138
"SLG","HOLD",22,100,20,22.6798636585667,0.015829999,14.0739991805272,7.54772674922423,-0.345814526285188
"BXP","BUY",17,51,44,14.7656980286312,0.02607,32.2328085058484,14.9610473871602,-0.17226888898656
"DISH","HOLD",16,60,30,13.173116151767,0.04553,42.044466623738,20.5635796762574,-0.24879583388723
"KIM","HOLD",15,19,65,7.43437356556802,0.020179998,44.0451835878538,20.5125274009024,-0.059684053548744
"SPG","HOLD",12,64,10,19.3774139466705,0.043670002,38.3193826180072,18.9413200595852,-0.440645272520637
"FRT","HOLD",9,42.5,25,36.6738486628962,0.023239998,33.6186994957883,14.6158494798906,-0.274368402733327
"UNM","HOLD",3,31,6,4.91641674540455,0.01289,29.6939815758804,17.1198375272359,-0.543560124832344
