"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","EPS","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"OMP","Oasis Midstream Partners LP","United States","Energy","Oil & Gas Midstream",22.3600006103516,6.63556289672852,6.46944284439087,22.3600006103516,205267.2,12.9064377365112,10820460,1489579904,507035000,1030693000,237566000,5147000,47164000,-4369000,42795000,54313000,90614000,241945492.204285,10.7504664574676,0.0526956135338069,0.0287295766310231,5.01947236993621,4.45465159730239,3.36972174905848,"HOLD",920,91.6334661354582,977,97.3107569721116,994,99.0533134030892
"DDS","Dillard's","United States","Consumer Cyclical","Department Stores",96.5699996948242,36.8082389831543,36.8082389831543,104.285430908203,492923.2,64.5016193847656,5366040,2302103552,1651507000,3092515000,1441008000,360339000,315884000,-8353000,307531000,67037000,1614314000,518198481.162415,5.22820718998113,0.0216771786070561,0.133586953433448,12.4928252491595,7.73003686266412,2.62359738913401,"HOLD",956,95.2191235059761,934,93.0278884462151,993,98.9536621823617
"UUU","Universal Security Instruments","United States","Industrials","Security & Protection Services",6.75,2.17000007629395,2.00999999046326,11.1000003814697,1256031.2,5.02992000961304,2064090,16545449,2364702,7538096,5173394,580904,1593307,0,1593307,78318,5124750,13932607.5,1.48414712293362,0.0103896262398356,0.0962988070012485,0.0379431129456564,177.897897035164,3.11059896897702,"HOLD",922,91.8326693227092,965,96.1155378486056,992,98.8540109616343
"LEU","Centrus Energy Corp","United States","Energy","Uranium",23.7199993133545,9.19999980926514,8.63000011444092,27.9099998474121,144702.4,18.8316799240112,9662144,289883232,806900000,486300000,-320700000,1.52e+08,61900000,-5e+05,61400000,16400000,92900000,229186049.045532,13.0355411954766,0.0337240386592638,0.211809422629868,1.69734584787807,13.9747590881422,2.57826084838247,"HOLD",953.5,94.9701195219124,932,92.8286852589641,991,98.7543597409068
"EVC","Entravision Communications Corp","United States","Communication Services","Broadcasting",4.03999996185303,1.52811217308044,1.51825344562531,4.28999996185303,345903.225806452,2.91025185585022,57946165,469943552,435381000,744646000,275980000,119162000,37732000,-1319000,36413000,20328000,171683000,234102504.389529,11.5387734548924,0.0272988775874711,0.077483774051229,0.350808375325615,11.5162585787844,2.64378494787395,"HOLD",937.5,93.3764940239044,935,93.1274900398406,990,98.6547085201794
"INSE","Inspired Entertainment Inc","United States","Communication Services","Electronic Gaming & Multimedia",9.28999996185303,3.01999998092651,3.01999998092651,11.5500001907349,88140.8,6.5508000125885,10392289,481137312,412800000,324100000,-88700000,47100000,21400000,-3500000,17900000,12400000,71800000,96544364.4135656,19.2897196261682,0.0382597963591484,0.037203516654306,1.19319237561619,7.78583583980368,3.07615894719407,"HOLD",888,88.4462151394422,961,95.7171314741036,988.5,98.5052316890882
"SIFY","Sify Techs Ltd Ads","India","Communication Services","Telecom Services",3.52999997138977,1.03999996185303,1.03999996185303,5.65000009536743,1578671.77419355,2.08830645007472,122045076,634556096,0,0,11807769000,0,0,0,0,2.52e+08,6.301e+09,430819114.788262,NA,Inf,0,2.06481087364803,1.70959966185818,3.39423086622058,"HOLD",871,86.7529880478088,978,97.4103585657371,988.5,98.5052316890882
"XOMA","Xoma Corp","United States","Healthcare","Biotechnology",40.810001373291,19.6599998474121,19.2600002288818,45.6100006103516,49607.2580645161,34.4369355786231,6456738,386689280,38861000,125285000,86375000,84222000,17678000,0,17678000,22666000,27581000,263499486.64698,2.19826903495871,0.180915512631201,0.045716291902377,3.51044134050352,11.6253192732278,2.07578848881135,"HOLD",989,98.5059760956175,859,85.5577689243028,987,98.355754857997
"ATLC","Atlanticus Hld Cp","United States","Financial Services","Credit Services",30.3299999237061,12.7299995422363,11.4499998092651,33.0699996948242,41323.3870967742,21.9390322392987,4773446,1181173120,845627000,1040575000,56403000,149194000,63815000,-31000,63784000,38855000,107370000,144778616.815815,13.2512262007365,0.0373399322489969,0.054000551587222,8.13982183940072,3.72612577057817,2.38256095949379,"HOLD",932,92.8286852589641,913,90.9362549800797,986,98.2561036372695
"CHCI","Comstock Hlds Cos","United States","Real Estate","Real Estate優iversified",5.78000020980835,2.48000001907349,2.29999995231628,8.38000011444092,534263.2,3.76647999572754,6155596,50386796,7838000,18368000,3765000,4491000,2006000,-41000,1965000,423000,7330000,35579346.1714954,3.90727816550349,0.023029181184669,0.0389983121768647,0.0687179600480603,84.1119294834408,2.33064522796565,"HOLD",935,93.1274900398406,906,90.2390438247012,985,98.1564524165421
"ORGO","Organogenesis Holdings Inc","United States","Healthcare","Drug Manufacturers祐pecialty & Generic",18.2199993133545,3.77999997138977,3.63000011444092,21.0599994659424,662458.4,9.04371998023987,29073116,2362983680,148410000,294494000,146084000,84394000,26276000,-8885000,17391000,18494000,106807000,529712153.557076,5.64811995737555,0.0627992420898219,0.00735976306023409,0.63612032504531,28.6423788016154,4.8201056749362,"HOLD",837,83.3665338645418,992,98.804780876494,984,98.0568011958146
"RCKY","Rocky Brands Inc","United States","Consumer Cyclical","Footwear & Accessories",54.060001373291,25.2953929901123,24.0157432556152,54.060001373291,44181.4516129032,33.6910015229256,6706223,365204256,49586000,229091000,179505000,28353000,13345000,-3098000,10247000,9723000,87618000,362538424.589596,3.71569876358187,0.0424416498247421,0.0280582710405215,1.4498474029271,37.286683594528,2.13714811208596,"HOLD",948,94.4223107569721,872,86.8525896414343,983,97.9571499750872
"KE","Kimball Electrnc","United States","Industrials","Electrical Equipment & Parts",25.7999992370605,11.6000003814697,11.4700002670288,28.4500007629395,121686.4,18.3675599365234,23660043,638057152,366210000,785848000,419638000,93618000,51555000,-6052000,45503000,15062000,320604000,610429091.34882,7.10328775094559,0.0191665563824047,0.0713149282276206,0.636600702712163,40.5277580234245,2.22413779212235,"HOLD",929,92.5298804780876,889,88.5458167330677,982,97.8574987543597
"PZN","Pzena Investment Management Inc","United States","Financial Services","Asset Management",10.5299997329712,5.11374807357788,4.84256410598755,11.8400001525879,59872,7.69997663116455,15815537,195548832,79732000,188687000,31106000,65534000,19946000,-10000,19936000,4012000,39861000,166537600.386796,3.99739296099469,0.0212627261019572,0.101948959736052,0.253674598592511,41.5098704852433,2.05915496451193,"HOLD",960,95.6175298804781,853,84.9601593625498,981,97.7578475336323
"OXSQ","Oxford Square Capital Corp","United States","Financial Services","Asset Management",4.6399998664856,2.38337063789368,2.30139708518982,4.76000022888184,345610.4,3.26469651985168,46795233,278317216,132231255,357657781,225426526,59137284,62123234,0,62123234,39664967,8638057,217129874.872162,2.12853141225713,0.110902010545103,0.223210173243469,0.84762836847078,5.47409694988937,1.94682261865332,"HOLD",1002,99.800796812749,810,80.6772908366534,980,97.6581963129048
"FNKO","Funko Inc Cl A","United States","Consumer Cyclical","Leisure",19.6800003051758,5.73999977111816,5.73999977111816,20.8299999237061,1397876.61290323,11.0720564357696,19810563,985629376,441145000,763590000,242267000,52255000,46894000,-3778000,43116000,8876000,226509000,389871885.885704,9.40728024907238,0.0116240390785631,0.043744637740992,0.448043803702096,43.92427736432,3.42857161845184,"HOLD",820,81.6733067729084,979,97.5099601593625,979,97.5585450921774
"BCEI","Bonanza Creek Energy Inc","United States","Energy","Oil & Gas E&P",35.7299995422363,18.2600002288818,16.0799999237061,39.5,290880.8,24.509200012207,20672722,728400192,137560000,1182812000,1045252000,24743000,47352000,-6290000,41062000,60628000,62635000,738636347.596779,2.90505152897449,0.0512575117601107,0.0563728571889229,2.93275360641913,12.1830894569634,1.95673598545318,"HOLD",982,97.808764940239,813,80.9760956175299,978,97.4588938714499
"SCKT","Socket Mobile","United States","Technology","Computer Hardware",8.59000015258789,1.26999998092651,1.26999998092651,20.6800003051758,4587153.22580645,4.38056455023827,5486748,59687832,4436227,15058488,10622261,2121763,417700,-161943,255757,1582535,4655588,47131166.1572113,10.6206056978693,0.105092556437273,0.00428491019744192,0.288428591945539,29.782068742373,6.76377974928878,"HOLD",789,78.5856573705179,998,99.402390438247,977,97.3592426507225
"MESA","Mesa Air Group Inc","United States","Industrials","Airlines",13.4499998092651,3.02999997138977,2.99000000953674,16.5799999237061,1205912.09677419,7.69241937514274,25226810,1119236480,1070520000,1554817000,484297000,181300000,79273000,-1773000,77500000,14118000,150371000,339300589.688368,13.5042195955748,0.00908016827703839,0.0692436329452021,0.559642697590381,24.0331909398192,4.43894387335457,"HOLD",794,79.0836653386454,991,98.7051792828685,976,97.259591429995
"HQI","Hirequest Inc","United States","Industrials","Staffing & Employment Services",17.25,7.82133102416992,7.43472576141357,19,15876,10.9770145950317,5075870,235642624,12730769,49095042,36364273,13667434,3940176,-266909,3673267,1356101,3405475,87558757.5,3.23101531505192,0.0276219541679993,0.0155882961140341,0.267166219781042,64.5665459283638,2.20550695868684,"HOLD",884,88.0478087649402,885,88.1474103585657,975,97.1599402092676
"LE","Lands' End Inc","United States","Consumer Cyclical","Specialty Retail",24.8099994659424,12.539999961853,12.5100002288818,38.6199989318848,240248.387096774,23.8087903299639,12223032,1103328256,675805000,1045508000,369703000,33933000,117697000,-4511000,113186000,19927000,538375000,303253417.392197,5.74190506130148,0.0190596341682704,0.102585970570847,1.63028289543871,15.2182173629847,1.97846886295175,"BUY",946,94.2231075697211,821,81.7729083665339,973.5,97.0104633781764
"DIT","Amcon Distributing Company","United States","Consumer Defensive","Food Distribution",114.699996948242,59.9212265014648,59.2522506713867,133.700225830078,797.58064516129,95.1278332433393,162720,121485920,92195932,157746118,65550186,515098,26701618,-432505,26269113,3077610,304244774,18663983.503418,3.45282192262656,0.0195098937395087,0.216231749325354,18.9135324483776,6.06444075221291,1.91417972636856,"HOLD",966,96.2151394422311,801,79.7808764940239,973.5,97.0104633781764
"IKNX","Ikonics Corp","United States","Basic Materials","Specialty Chemicals",9.80000019073486,3.41000008583069,3.33999991416931,13.7399997711182,32184,7.68264000320435,864331,18488796,3596053,15435399,11839346,3693845,231289,0,231289,1463185,4227605,8470443.96485806,15.5478773309582,0.0947941157854099,0.0125096842433656,1.69285262243284,5.78904510698104,2.87390027685221,"HOLD",815,81.1752988047809,950,94.6215139442231,972,96.8609865470852
"AVID","Avid Tech Inc","United States","Communication Services","Electronic Gaming & Multimedia",21.1100006103516,8.35999965667725,8.35999965667725,23.9400005340576,497110.483870968,15.3340322432979,34438074,1043785728,438062000,305138000,-132924000,79899000,30712000,-73000,30639000,7087000,104301000,726987763.159332,14.263545194061,0.0232255569611127,0.0293537257485858,0.205789673371397,102.580466087108,2.52511979393333,"HOLD",826,82.2709163346614,927,92.3306772908366,971,96.7613353263577
"LIVE","Live Ventures","United States","Consumer Cyclical","Specialty Retail",23.8899993896484,9.67000007629395,9.46000003814697,33.8600006103516,75874.1935483871,17.6541935551551,1271013,137010992,141979000,190564000,48994000,7232000,7668000,-3258000,4410000,5413000,62454000,30364499.7942352,18.5157798643714,0.028405155223442,0.0321871985278378,4.25880773839449,5.6095510427185,2.47052732173342,"HOLD",829,82.5697211155379,923,91.9322709163347,970,96.6616841056303
"CRAI","Cra International","United States","Industrials","Consulting Services",74.6399993896484,37.2708740234375,37.2708740234375,74.6399993896484,32537.6,52.418654510498,6867049,647094336,349491000,558510000,209019000,45677000,65315000,-1352000,63963000,6705000,137422000,512556533.168686,5.35085355584475,0.0120051565773218,0.0988464841083078,0.976401944998499,76.4439273927943,2.00263614270789,"HOLD",915,91.1354581673307,834,83.0677290836653,969,96.5620328849028
"ARLP","Alliance Resource Pt","United States","Energy","Thermal Coal",5.80000019073486,2.85999989509583,2.63000011444092,6.5,612824.193548387,4.7789516160565,87198682,1276599296,1093749000,2166016000,1060891000,55574000,108857000,-18281000,90576000,35028000,366513000,505752372.231829,10.0475761779215,0.0161716256943624,0.0709510026237708,0.401703319323106,14.4385169644807,2.02797216904812,"HOLD",900,89.6414342629482,848,84.4621513944223,968,96.4623816641754
"JYNT","The Joint Corp","United States","Healthcare","Medical Care Facilities",48.3699989318848,17.5100002288818,17.5100002288818,49,119747.2,30.0157200927734,11214630,664199232,44981760,65732843,20750983,20554258,4275797,-811889,3463908,10632823,17038144,542451641.121483,10.5200878339173,0.161758148814589,0.00521516411509491,0.94812071374624,51.016709402713,2.76242137633448,"HOLD",803.5,80.0298804780876,944,94.0239043824701,967,96.3627304434479
"NAII","Natural Alternativ","United States","Consumer Defensive","Packaged Foods",15.3599996566772,7.40000009536743,7.40000009536743,17.6599998474121,28684.8,11.9914400138855,4328958,93951728,53031000,125519000,72488000,28629000,4573000,-1555000,3018000,3632000,48083000,66492793.3937702,11.5965449376777,0.0289358583162708,0.0321228791023407,0.839000978988477,18.3074871678883,2.07567560253046,"HOLD",886,88.2470119521912,858,85.4581673306773,966,96.2630792227205
"PERI","Perion Network Ltd","Israel","Communication Services","Internet Content & Information",17.8999996185303,7.01000022888184,6.71000003814697,25.6900005340576,1084863.2,13.3378400192261,25594160,576132160,174559000,358681000,184122000,47656000,12920000,-73000,12847000,9002000,118256000,458135454.236603,13.5107585139319,0.0250975100437436,0.0222987031308927,0.351720861321489,50.8926298863145,2.55349486934118,"HOLD",806,80.2788844621514,929,92.5298804780876,965,96.163428001993
"VOC","Voc Energy Trust","United States","Energy","Oil & Gas E&P",3.5,1.44919395446777,1.27980780601501,3.72000002861023,155985.6,2.46518669509888,12545660,58896996,0,19012202,19012202,603004,0,0,0,1445000,1495332,43909810,NA,0.0760038211249807,0,0.115179273151034,30.3874117647059,2.41513566159293,"HOLD",815,81.1752988047809,916,91.2350597609562,964,96.0637767812656
"TGLS","Tecnoglass Inc","Colombia","Industrials","Building Products & Equipment",12.0200004577637,5.21648597717285,4.48120975494385,12.0200004577637,119821.6,7.04872090530395,20297535,726453056,319057000,532025000,212382000,66899000,20410000,-4591000,15819000,18456000,102374000,243976379.991474,15.6323860852523,0.0346900991494761,0.0217756672221914,0.90927297329454,13.2193530554548,2.30423325402632,"HOLD",824.5,82.1215139442231,902,89.8406374501992,963,95.9641255605381
"SMLP","Summit Midstream Partners LP","United States","Energy","Oil & Gas Midstream",23.5699996948242,9.30000019073486,9.14999961853027,29,107908.064516129,16.6046772926084,4892045,1746131840,1487268000,2499817000,748466000,15544000,51782000,-7816000,43966000,102966000,97348000,115305499.157066,28.7217179714959,0.0411894150651828,0.0251790838428329,21.047639586308,1.11984052169713,2.53440851735744,"HOLD",798,79.4820717131474,928,92.4302788844621,962,95.8644743398107
"KOSS","Koss Cp","United States","Technology","Consumer Electronics",22.4899997711182,2.17000007629395,2.02999997138977,64,3118620.8,9.80639999580383,4201563,169339440,7753033,23943624,16190591,4394719,965580,-109562,856018,508890,4929789,94493150.9083385,8.0294051243812,0.0212536748822985,0.00505504210950503,0.121119212064653,185.684825617203,10.364054829679,"HOLD",719.5,71.6633466135458,1003,99.9003984063745,960.5,95.7149975087195
"FSI","Flexible Solutions International Inc","Canada","Basic Materials","Specialty Chemicals",4.03999996185303,2.05999994277954,2.04999995231628,4.44999980926514,127214.516129032,3.10165323172846,7688654,50314152,10546210,34381982,21031437,6240573,2307830,-265379,2042451,582369,8112930,31062161.8667011,4.5697516714836,0.016938203271702,0.0405939664848172,0.0757439468598795,53.3375950071194,1.96116508450087,"HOLD",907.5,90.3884462151394,815,81.1752988047809,960.5,95.7149975087195
"KOPN","Kopin Cp","United States","Technology","Electronic Components",10.4899997711182,1.38999998569489,1.19000005722046,13.5600004196167,3422198.4,4.52488000869751,70986091,748511488,19250552,47549147,28435431,17112869,1858987,-248267,1610720,1263388,13921666,744644078.342573,10.3553989350114,0.0265701506695798,0.00215189750033603,0.0177976837744172,589.402525861076,7.54676250293199,"HOLD",711,70.8167330677291,1000,99.601593625498,958.5,95.5156950672646
"TZOO","Travelzoo Inc","United States","Consumer Cyclical","Travel Services",16.7600002288818,6.55000019073486,6.42999982833862,17.8799991607666,65746.4,10.777679977417,6670419,149073408,95900000,102400000,1892000,63061000,9233000,-1000,9232000,727000,12483000,111796223.966738,10.3866565579985,0.007099609375,0.0619292208037533,0.108988655735119,153.777474507205,2.5587785863868,"HOLD",781,77.7888446215139,930,92.6294820717131,958.5,95.5156950672646
"HVT","Haverty Furniture Companies","United States","Consumer Cyclical","Home Improvement Retail",37.189998626709,19.6455402374268,19.6455402374268,39.4099998474121,199524,29.7056578369141,14383022,719094848,427405000,680372000,252967000,200058000,30370000,-3722000,26648000,25428000,241286000,534904568.427925,14.0732630885743,0.0373736720499962,0.037057698402534,1.76791775747823,21.0360456358316,1.89305044184319,"HOLD",911,90.7370517928287,790,78.6852589641434,957,95.3662182361734
"OPY","Oppenheimer Holdings","United States","Financial Services","Capital Markets",40.0499992370605,21.4443893432617,21.4443893432617,43.2900009155273,116680.8,32.03901121521,9094002,492828992,2028235000,2713903000,685668000,35424000,94324000,-820000,93504000,81880000,420146000,364214773.161827,21.50285187227,0.0301705698398211,0.189729097755677,9.00373674868336,4.44815306743804,1.8676213435588,"HOLD",924,92.0318725099602,774,77.0916334661355,956,95.2665670154459
"ETH","Ethan Allen Interiors Inc","United States","Consumer Cyclical","Furnishings, Fixtures & Appliances",27.6100006103516,13.6414461135864,13.6414461135864,29.0200004577637,298422.580645161,21.2526551831153,21778492,741556160,288655000,636219000,347579000,80035000,23728000,-3439000,20289000,16883000,178826000,601304177.412537,12.1651635198921,0.0265364599296783,0.0273600316394108,0.775214372051104,35.6159555418194,2.02397901076286,"HOLD",844,84.0637450199203,845,84.1633466135458,955,95.1669157947185
"TAIT","Taitron Components","United States","Technology","Electronics & Computer Distribution",4.07000017166138,2.3120698928833,2.15598082542419,5.15999984741211,73426.4,3.31904061508179,2612116,17513762,1105000,14038000,12833000,6377000,706000,-6000,7e+05,443000,1991000,10631312.5683994,1.56515580736544,0.0315572018806098,0.0399685687175605,0.169594305919033,23.9984482356646,1.76032748153034,"HOLD",963,95.9163346613546,720,71.7131474103586,954,95.067264573991
"RBBN","Ribbon Communications Inc","United States","Communication Services","Telecom Services",8.21000003814697,3.83999991416931,3.76999998092651,11.1400003433228,693140.322580645,6.76451612287952,106978606,1552501376,860412000,1547265000,686853000,128428000,36316000,-8036000,28280000,123760000,244202000,878294359.34091,23.692367000771,0.0799862984039579,0.0182157648535314,1.15686682251216,7.09675468116443,2.13802089105593,"HOLD",808,80.4780876494024,873,86.9521912350598,953,94.9676133532636
"VERU","Veru Inc","United States","Healthcare","Biotechnology",10.7799997329712,2.5699999332428,2.35999989509583,20.7800006866455,5183024.8,8.26743998718262,57484937,773111168,24040344,72788477,48748133,30921496,659241,-7186,652055,17227701,14616989,619687605.509866,36.4667003417567,0.236681707188351,0.000843416868090049,0.299690699843683,35.9704179628997,4.19455253423649,"HOLD",687,68.4262948207171,987,98.3067729083665,952,94.8679621325361
"SBOW","Silverbow Resources Inc","United States","Energy","Oil & Gas E&P",7.78000020980835,3.85999989509583,3.85999989509583,9.47000026702881,70204.8,6.09306400299072,4272496,520197728,492102000,583135000,91033000,2118000,37430000,-13128000,24302000,9348000,53465000,33240019.7764053,13.1472615549025,0.0160305932588509,0.0467168514815197,2.18794821575023,3.5558429371422,2.01554415058221,"HOLD",831,82.7689243027888,841,83.7649402390438,951,94.7683109118087
"FLL","Full House Rsts","United States","Consumer Cyclical","Resorts & Casinos",8.51000022888184,2,2,8.97000026702881,435191.129032258,4.89951613833827,24635638,326171136,155939000,212616000,56677000,37698000,6066000,-755000,5311000,3500000,38269000,209649285.01865,25.7070557204088,0.0164616021371863,0.0162828632390084,0.142070605193988,59.8997957196143,4.25500011444092,"HOLD",679,67.6294820717131,988,98.406374501992,950,94.6686596910812
"RMCF","Rocky MT Chocolate","United States","Consumer Defensive","Confectioners",5.26999998092651,2.61999988555908,2.61999988555908,6.78000020980835,74841.935483871,4.351129049255,4457012,31836118,11593437,28281014,16687577,7270921,1043871,-26206,1017665,523695,7228867,23488453.1549892,11.1061970300928,0.0185175467895175,0.0319657377824771,0.117499122730655,44.851398533477,2.01145046225907,"HOLD",823,81.9721115537849,839,83.5657370517928,949,94.5690084703538
"HY","Hyster-Yale Materials Handling","United States","Industrials","Farm & Heavy Construction Machinery",87.120002746582,37.1208610534668,37.1208610534668,99.9888000488281,69942.4,68.2560795593262,9236590,1697539712,1208400000,1859500000,616900000,151400000,90800000,-14500000,76300000,13100000,719600000,804691746.169052,13.3083700440529,0.00704490454423232,0.0449474020905851,1.41827232777464,61.4268508525994,2.34692839212698,"HOLD",747,74.402390438247,909,90.5378486055777,948,94.4693572496263
"MVO","Mv Oil Trust","United States","Energy","Oil & Gas E&P",4.34000015258789,2.18041586875916,2.15209889411926,4.48000001907349,68133.064516129,3.36836964661075,7641405,48715428,0,10583308,10583308,504571,0,0,0,1092500,1142292,33163698.8659859,NA,0.103228593555059,0,0.142971089740696,30.355788435685,1.99044604966012,"HOLD",827,82.3705179282869,828,82.4701195219124,947,94.3697060288989
"GPX","Gp Strategies Corp","United States","Consumer Defensive","Education & Training Services",17.4500007629395,9.53999996185303,9.35999965667725,17.6399993896484,47628.8,12.5699199829102,12519418,316049344,158430000,381776000,223346000,23076000,13623000,-346000,13277000,8447000,123088000,218463853.651558,11.629597005065,0.0221255395834206,0.0420092629586347,0.674711875583993,25.8628925833501,1.82914054850269,"HOLD",892,88.8446215139442,762,75.8964143426295,945.5,94.2202291978077
"GPP","Green Plains Partners LP","United States","Energy","Oil & Gas Midstream",12.3199996948242,7.01729154586792,7.01729154586792,13.5,58648.8,9.22746713638306,9380975,419056768,151782000,105320000,-45545000,2478000,13512000,-45000,13467000,10082000,21311000,115573609.137154,11.2331261101243,0.0957273072540828,0.0321364574643978,1.07472837311687,11.4633613506401,1.75566308087609,"HOLD",936,93.2270916334661,718,71.5139442231076,945.5,94.2202291978077
"CARA","Cara Therapeutics","United States","Healthcare","Biotechnology",21.7099990844727,13.1800003051758,12.7200002670288,21.7099990844727,464037.903225806,16.767258051903,41845108,907174528,22156000,271157000,249001000,31683000,82088000,-167000,81921000,78909000,112089000,908457256.369659,0.269905467303382,0.29100853011355,0.090303461430522,1.88574014434375,11.5127204294777,1.64719260863349,"HOLD",999.5,99.5517928286853,650,64.7410358565737,944,94.0707523667165
"AAME","Atlantic Amer Cp","United States","Financial Services","Insurance有ife",3.6800000667572,2.03999996185303,1.96000003814697,6.53000020980835,1264629.6,2.93592000389099,3493456,93036720,260127000,405187000,145005000,19319000,9875000,-45000,9830000,11848000,59932000,12855918.3132133,26.3419746835443,0.0292408196709174,0.105657207175833,3.39148396315855,1.08507075567297,1.803921635084,"HOLD",899,89.5418326693227,748,74.5019920318725,942.5,93.9212755356253
"SCVL","Shoe Carnival Inc","United States","Consumer Cyclical","Apparel Retail",61.8800010681152,34.0644874572754,30.9114761352539,61.8800010681152,141177.419354839,42.3955321465769,8690571,997735488,332571000,642747000,310176000,106532000,63225000,-2313000,60912000,7443000,253897000,537772542.762531,5.26011862396204,0.0115799840372651,0.0610502490215122,0.856445451052641,72.2521218275603,1.81655459063421,"HOLD",891,88.7450199203187,756,75.2988047808765,942.5,93.9212755356253
