CompanyName;tickers;country;industry;euroidx;ISIN
Ageas;AGS.BR;BE;INS;;
AB InBev;ABI.BR;BE;FOOD;;
Aperam;APAM.BR;BE;MAT;;
arGEN-X;ARGX.BR;BE;HEALTH;;
Barco;BAR.BR;BE;IND;;
Cofinimmo;COFB.BR;BE;INM;;
Colruyt;COLR.BR;BE;RET;;
Galapagos;GLPG.BR;BE;HEALTH;;
GBL;GBLB.BR;BE;BAN;;
ING Group;INGA.BR;BE;BAN;;
KBC;KBC.BR;BE;BAN;;
Proximus;PROX.BR;BE;COM;;
Sofina;SOF.BR;BE;BAN;;
Telenet Group;TNET.BR;BE;MED;;
UCB;UCB.BR;BE;HEALTH;;
Umicore;UMI.BR;BE;CHE;;
WDP;WDP.BR;BE;INM;;
Altri;ALTR.LS;PO;IND;;
Banco Comercial Português;BCP.LS;PO;BAN;;
Corticeira Amorim;COR.LS;PO;FOOD;;
CTT Correios de Portugal;CTT.LS;PO;TRANS;;
EDP Renováveis;EDPR.LS;PO;UTL;;
Energias de Portugal;EDP.LS;PO;UTL;;
Galp Energia;GALP.LS;PO;OIL;;
Ibersol;IBS.LS;PO;SER;;
Jerónimo Martins;JMT.LS;PO;RET;;
Mota-Engil;EGL.LS;PO;CON;;
NOS;NOS.LS;PO;MED;;
Novabase;NBA.LS;PO;TECH;;
Pharol;PHR.LS;PO;COM;;
Redes Energéticas Nacionais;RENE.LS;PO;UTL;;
Semapa;SEM.LS;PO;MAT;;
Sonae;SON.LS;PO;RET;;
Sonae Capital;SONC.LS;PO;BAN;;
The Navigator Company;NVG.LS;PO;MAT;;
Unibail-Rodamco ;URW.AS;FR;INM;;
Exor;EXO.MI;IT;;;
Elsior Luxottica Group S.p.A.;EL.PA;FR;LUX;;
ZUMTOBEL;ZAG.VI ;AT;IND;;
SAFRAN;SAF.PA;FR;IND;;
BancoComercialPortugies;BCP.LS;PO;BAN;;
TUBOSREUNIDORS;TRG.MC;ES;IND;;
LINGOTES;LGT.MC;ES;IND;;
REALIA;RLIA.MC;ES;INM;;
GESTAMP;GEST.MC;ES;AUT;;
BaronDeLey;BDL.MC;ES;FOOD;;
DeutscheTelekom;DTE.DE;DE;COM;1;
RWE;RWE.DE;DE;SUP;;
ThyssenKrupp;TKA.DE;DE;IND;;
MERLIN;MRL.MC;ES;INM;;
SANTANDER;SAN.MC;ES;BAN;;
GASNATURAL;GAS.MC;ES;UTL;;
MITTAL;MTS.MC;ES;IND;;
BMW;BMW.DE;DE;AUT;1;
DAIMLER;DAI.DE;DE;AUT;;
PEUGEOT-CITROEN;UG.PA;FR;AUT;;
CARREFOUR;CA.PA;FR;SUP;;
SIEMENS;SIE.DE;DE;TECH;;
UNICAJA;UNI.MC;ES;BAN;;
DEUTSCHEBANK;DBK.DE;DE;BAN;1;
PHILIPS;PHIA.AS;HO;TECH;1;
GENERALLI;G.MI;IT;INS;1;
Anheuser-Busch;ABI.BR;BE;FOOD;;
ROYALDUTCH;RDSA.AS;HO;OIL;;
UNILEVER;UNA.AS;HO;FOOD;;
WolkersKluwer;WKL.AS;HO;PUB;;
RELX PLC ;REN.AS;HO;PUB;;
AholdDelhaize;AD.AS;HO;SUP;;
Essilor International ;EI.PA;FR;LUX;;
Allianz;ALV.DE ;DE;INS;;
ENGI;ENGI.PA ;FR;OIL;;
MunichRe;MUV2.DE ;DE;INS;;
Merk;MRK.DE ;DE;PHA;;
InfineonTechnologies;IFX.DE;DE;TECH;;
Fresenius Medical Care  ;FME.DE ;DE;HEALTH;;
Lindle;LIN.DE ;DE;INS;;
Continental;CON.DE ;DE;AUT;;
Henkel AG & Co. KGaA ;HEN3.DE ;DE;;;
Beiersdorf ;BEI.DE ;DE;;;
HeidelbergCement AG ;HEI.DE ;DE;;;
E.ON;EOAN.DE ;DE;;;
Deutsche Borse AG;DB1.DE ;DE;;;
Lufthansa ;LHA.DE ;DE;FLI;;
BASF;BAS.DE;DE;;;
Wirecard;WDI.DE;DE;;;
KBC Group NV ;KBC.BR ;BE;;;
Edenred SA ;EDEN.PA ;FR;;;
Thales;HO.PA;FR;;;
Ubisoft Entertainment SA ;UBI.PA;FR;;;
Electricite de France S.A. ;EDF.PA;FR;;;
Atos;ATO.PA;FR;;;
Covivo;COV.PA;FR;;;
Sodexo;SW.PA;FR;;;
Teleperformance;TEP.PA;FR;;;
Solvay;SOLB.BR;BE;;;
Natixis;KN.PA;FR;;;
BioMerieux;BIM.PA;FR;;;
Groupe Bruxelles Lambert SA ;GBLB.BR;BE;;;
Worldline S.A ;WLN.PA;FR;;;
Ipsen;IPN.PA;FR;;;
Credit Agricola;ACA.PA;FR;BAN;;
Societe Generale ;GLE.PA;FR;BAN;;
Bouygues;EN.PA;FR;;;
Pernod Ricard;RI.PA;FR;;;
Capgemini;CAP.PA;FR;;;
Vinci;DG.PA;FR;;;
Vivendi;VIV.PA;FR;INM;;
Veolia;VIE.PA;FR;;;
MITTAL;MT.AS;HO;;;
JustEat;TKWY.AS;HO;;;
ABN AMRO Bank;ABN.AS;HO;;;
Heineken;HEIA.AS;HO;;;
NN;NN.AS ;HO;;;
KPN;KPN.AS;HO;TEL;;
Pharol;PHR.LS;PO;;;
;RENE.LS;PO;;;
Sonae;SON.LS;PO;;;
Navigator;NVG.LS;PO;;;
NOS;NOS.LS;PO;;;
Salvatore Fergamo;SFER.MI;IT;;;
;PST.MI;IT;;;
;UBI.MI;IT;BAN;;
;PRY.MI;IT;;;
;LDO.MI;IT;;;
ATLANTIA;ATL.MI;IT;;;
DAVIDE CAMPARI;CPR.MI;IT;;;
;FBK.MI;IT;BAN;;
;IG.MI;IT;UTL;;
;UNI.MI;IT;;;
;ENI.MI;IT;UTL;;
;BMED.MI;IT;BAN;;
;BPE.MI;IT;BAN;;
TENARIS;TEN.MI;IT;;;
;BZU.MI;IT;;;
;SPM.MI;IT;;;
;DIA.MI;IT;SUP;;
Technogym;TGYM.MI;IT;RET;;
De'Longhi S.p.A ;DLG.MI;IT;;;
Gambero Rosso SpA;GAMB.MI;IT;;;
Sacyr;SCYR.MC;ES;CONS;;
Siemens Gamesa Renewable Energy;GAM.MC;ES;IND;;
Tubacex;TUB.MC;ES;IND;;
Red Eléctrica Corporación;REE.MC;ES;UTL;;
Pharma Mar;PHM.MC;ES;PHA;;
Compañía de Distribución Integral Logista Holdings;LOG.MC;ES;TRANS;;
Almirall;ALM.MC;ES;PHA;;
Zardoya Otis;ZOT.MC;ES;IND;;
Naturgy;NTGY.MC;ES;UTL;;
ENCE;ENC.MC;ES;IND;;
Laboratorios Rovi;ROVI.MC;ES;PHA;;
DEUTSCHE WOHNEN;DWNI.DE;DE;INM;;
PORSCHE ;PAH3.DE;DE;AUT;;
EURONAV;EURN.BR;BE;OIL;;
Tarkett S.A;TKTT.PA;FR;;;
IMMOFINANZ AG;IIA.VI;AT;INS;;
Osterreichische Post AG;POST.VI;AT;;;
OMV Aktiengesellschaft;OMV.VI;AT;;;
Lenzing Aktiengesellschaft;LNZ.VI;AT;;;
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft;ATS.VI;AT;;;
CA Immobilien Anlagen AG;CAI.VI;AT;INM;;
VERBUND AG;VER.VI;AT;;;
Telekom Austria AG;TKA.VI;AT;COM;;
Voestalpine AG;VOE.VI;AT;;;
Mayr-Melnhof Karton AG;MMK.VI;AT;;;
Erste Group Bank AG;EBS.VI;AT;;;
Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft;SBO.VI;AT;;;
Wienerberger AG;WIE.VI;AT;;;
Raiffeisen Bank International AG;RBI.VI;AT;;;
UNIQA Insurance Group AG;UQA.VI;AT;;;
Andritz AG;ANDR.VI;AT;;;
Vienna Insurance Group AG;VIG.VI;AT;;;
BAWAG Group AG;BG.VI;AT;;;
DO & CO Aktiengesellschaft;DOC.VI;AT;;;
S IMMO AG;SPI.VI;AT;;;
PUMA;PUM.DE ;DE;;;
KION GROUP AG;KGX.DE;DE;;;
Fielmann Aktiengesellschaft;FIE.DE;DE;;;
RTL Group S.A.;RRTL.DE;DE;;;
Schaeffler AG;SHA.DE;DE;;;
HOCHTIEF Aktiengesellschaft;HOT.DE;DE;;;
Evonik Industries AG;EVK.DE;DE;;;
LANXESS Aktiengesellschaft;LXS.DE;DE;;;
LEG Immobilien AG;LEG.DE;DE;INM;;
TAG Immobilien AG;TEG.DE;DE;INM;;
Fuchs Petrolub SE;FPE3.DE;DE;CHE;;
Sudzucker AG;SZU.DE;DE;;;
Durr Aktiengesellschaft;DUE.DE;DE;;;
Hannover Ruck SE;HNR1.DE;DE;;;
Steinhoff International Holdings N.V.;SNH.DE;DE;;;
Gerresheimer AG;GXI.DE;DE;;;
CTS Eventim AG & Co. KGaA;EVD.DE;DE;;;
Jungheinrich Aktiengesellschaft;JUN3.DE;DE;;;
Fraport AG;FRA.DE;DE;AIR;;
Savencia;SAVE.PA ;FR;FOOD;;
Intesa San Paolo;ISP.MI;IT;BAN;;
Audi;NSU.DE;DE;AUT;;
Knorr-Bremse ;KBX.DE;DE;AUT;;
Renault;RNA.PA;FR;AUT;;
Valeo SA;FR.PA;FR;AUT;;
Compagnie Plastic Omnium SA ;POM.PA;FR;AUT;;
Rubis;RUI.PA;FR;UTL;;
CRH;CRG.IR;IR;CONS;1;
Kerry Group;KRZ.IR;IR;FOOD;;
Kingspan Group;KRX.IR;IR;CONS;;
Kapsch TrafficCom;KTCG.VI;AT;TECH;;
Metro AG;MEO.VI;AT;SUP;;
Dragerwerk;DRW3.DE;DE;HEALTH;;
Ahlstrom-Munksjö Oyj;AM1.HE;FI;MAT;;FI4000048418
Cargotec Oyj;CGCBV.HE;FI;IND;;FI0009013429
Citycon Oyj;CTY1S.HE;FI;BAN;;FI4000369947
Elisa Oyj;ELISA.HE;FI;COM;;FI0009007884
Fortum Oyj;FORTUM.HE;FI;UTL;;FI0009007132
Fiskars Oyj Abp;FSKRS.HE;FI;RET;;FI0009000400
Huhtamäki Oyj;HUH1V.HE;FI;IND;;FI0009000459
Konecranes Oyj;KCR.HE;FI;IND;;FI0009005870
Kemira Oyj;KEMIRA.HE;FI;MAT;;FI0009004824
Kesko Oyj A;KESKOA.HE;FI;SER;;FI0009007900
Kesko Oyj B;KESKOB.HE;FI;SER;;FI0009000202
KONE Oyj;KNEBV.HE;FI;IND;;FI0009013403
Kojamo Oyj;KOJAMO.HE;FI;BAN;;FI4000312251
Metsä Board Oyj A;METSA.HE;FI;MAT;;FI0009000640
Metsä Board Oyj B;METSB.HE;FI;MAT;;FI0009000665
Metso Outotec Oyj;MOCORP.HE;FI;IND;;FI0009014575
Nordea Bank Abp;NDA-FI.HE;FI;BAN;;FI4000297767
Neles Oyj;NELES.HE;FI;IND;;FI4000440664
Neste Oyj;NESTE.HE;FI;OIL;;FI0009013296
Nokia Oyj;NOKIA.HE;FI;TECH;1;FI0009000681
Orion Oyj A;ORNAV.HE;FI;HEALTH;;FI0009014369
Orion Oyj B;ORNBV.HE;FI;HEALTH;;FI0009014377
Outokumpu Oyj;OUT1V.HE;FI;MAT;;FI0009002422
Sanoma Oyj;SAA1V.HE;FI;SER;;FI0009007694
Sampo Oyj A;SAMPO.HE;FI;BAN;;FI0009003305
SSAB A;SSABAH.HE;FI;MAT;;SE0000171100
SSAB B;SSABBH.HE;FI;MAT;;SE0000120669
Stora Enso Oyj A;STEAV.HE;FI;MAT;;FI0009005953
Telia Company;TELIA1.HE;FI;COM;;SE0000667925
TietoEVRY Oyj;TIETO.HE;FI;TECH;;FI0009000277
Terveystalo Oyj;TTALO.HE;FI;HEALTH;;FI4000252127
Nokian Renkaat Oyj;TYRES.HE;FI;RET;;FI0009005318
UPM-Kymmene Oyj;UPM.HE;FI;MAT;;FI0009005987
Valmet Oyj;VALMT.HE;FI;IND;;FI4000074984
Wärtsilä Oyj Abp;WRT1V.HE;FI;IND;;FI0009003727
YIT Oyj;YIT.HE;FI;IND;;FI0009800643
Afarak Group Oyj;AFAGR.HE;FI;MAT;;FI0009800098
Aktia Bank Abp;AKTIA.HE;FI;BAN;;FI4000058870
Ålandsbanken Abp A;ALBAV.HE;FI;BAN;;FI0009000103
Ålandsbanken Abp B;ALBBV.HE;FI;BAN;;FI0009001127
Alma Media Oyj;ALMA.HE;FI;SER;;FI0009013114
Altia Oyj;ALTIA.HE;FI;RET;;FI4000292438
Aspo Oyj;ASPO.HE;FI;IND;;FI0009008072
Atria Oyj A;ATRAV.HE;FI;RET;;FI0009006548
Basware Oyj;BAS1V.HE;FI;TECH;;FI0009008403
Bittium Oyj;BITTI.HE;FI;TECH;;FI0009007264
CapMan Oyj;CAPMAN.HE;FI;BAN;;FI0009009377
Caverion Oyj;CAV1V.HE;FI;IND;;FI4000062781
Enento Group Oyj;ENENTO.HE;FI;BAN;;FI4000123195
eQ Oyj;EQV1V.HE;FI;BAN;;FI0009009617
Etteplan Oyj;ETTE.HE;FI;IND;;FI0009008650
Evli Pankki Oyj;EVLI.HE;FI;BAN;;FI4000170915
Finnair Oyj;FIA1S.HE;FI;SER;;FI0009003230
Finnair Oyj Uudet 2020;FIA1SN0120.HE;FI;SER;;FI4000440128
F-Secure Oyj;FSC1V.HE;FI;TECH;;FI0009801310
HKScan Oyj A;HKSAV.HE;FI;RET;;FI0009006308
Kamux Oyj;KAMUX.HE;FI;SER;;FI4000206750
Lassila & Tikanoja Oyj;LAT1V.HE;FI;IND;;FI0009010854
Lehto Group Oyj;LEHTO.HE;FI;IND;;FI4000081138
Marimekko Oyj;MMO1V.HE;FI;RET;;FI0009007660
Musti Group Oyj;MUSTI.HE;FI;SER;;FI4000410758
NoHo Partners Oyj;NOHO.HE;FI;SER;;FI4000064332
Oriola Oyj A;OKDAV.HE;FI;HEALTH;;FI0009014344
Oriola Oyj B;OKDBV.HE;FI;HEALTH;;FI0009014351
Olvi Oyj A;OLVAS.HE;FI;RET;;FI0009900401
Oma Säästöpankki Oyj;OMASP.HE;FI;BAN;;FI4000306733
Pihlajalinna Oyj;PIHLIS.HE;FI;HEALTH;;FI4000092556
Ponsse Oyj 1;PON1V.HE;FI;IND;;FI0009005078
Qt Group Oyj;QTCOM.HE;FI;TECH;;FI4000198031
Raisio Oyj Vaihto-osake;RAIVV.HE;FI;RET;;FI0009002943
Revenio Group Oyj;REG1V.HE;FI;HEALTH;;FI0009010912
Rovio Entertainment Oyj;ROVIO.HE;FI;RET;;FI4000266804
Scanfil Oyj;SCANFL.HE;FI;IND;;FI4000029905
Stockmann Oyj Abp A;STCAS.HE;FI;SER;;FI0009000236
Stockmann Oyj Abp B;STCBV.HE;FI;SER;;FI0009000251
Taaleri Oyj;TAALA.HE;FI;BAN;;FI4000062195
AS Tallink Grupp FDR;TALLINK.HE;FI;IND;;FI4000349378
Tikkurila Oyj;TIK1V.HE;FI;IND;;FI4000008719
Talenom Oyj;TNOM.HE;FI;IND;;FI4000153580
Tokmanni Group Oyj;TOKMAN.HE;FI;SER;;FI4000197934
Uponor Oyj;UPONOR.HE;FI;IND;;FI0009002158
